date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
09-09-2024,B0BNL53HF3,,2024-09-09,0,0,0,0,0,1,59,"NapQueen 1.5'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,1.5 Inch,0,0
30-08-2024,B0BRDCBGFD,,2024-08-30,0,0,0,0,0,1,155,"NapQueen 10"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,10 Inch,0,0
10-09-2024,B09KDN7PYR,,2024-09-10,0,0,0,0,0,1,219,"NapQueen Elizabeth 8"" Gel Memory Foam Mattress, Queen",Elizabeth,Mattress,Queen,8 Inch,0,0
28-08-2024,B0BNKY8RQN,,2024-08-28,0,0,0,0,0,1,61,"NapQueen 2'' Swirl Gel Mattress Topper, Queen",Swirl Egg Shell,Mattress Topper,Queen,2 Inch,0,0
04-09-2024,B0BRCY688R,,2024-09-04,0,0,0,0,0,1,338,"NapQueen Anula Green Tea 12'', King",Anula,Mattress,King,12 Inch,0,0
28-08-2024,B0BGDXM13S,,2024-08-28,0,0,0,0,0,1,229,"NapQueen 8"" Maxima Hybrid Mattress, King, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,King,8 Inch,0,0
21-08-2024,B0BGDWGRQB,,2024-08-21,0,0,0,0,0,1,119,"NapQueen 8"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,8 Inch,0,0
04-09-2024,B0BNL4R8NS,,2024-09-04,0,0,0,0,0,1,53,"NapQueen 3"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Twin-XL",Bamboo Charcoal Topper,Mattress Topper,Twin XL,3 Inch,0,0
01-09-2024,B09KDTHJ6V,,2024-09-01,0,0,0,0,0,1,188,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,12 Inch,0,0
04-09-2024,B09KDR64LT,,2024-09-04,0,0,0,0,0,1,169,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,10 Inch,0,0
30-08-2024,B0BNKYW36G,,2024-08-30,0,0,0,0,0,1,57,"NapQueen 2'' Swirl Gel Mattress Topper, Full",Swirl Egg Shell,Mattress Topper,Full,2 Inch,0,0
05-09-2024,B0BNL3YY1C,,2024-09-05,0,0,0,0,0,1,50,"NapQueen 2'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,2 Inch,0,0
15-08-2024,B09KDR64LT,,2024-08-15,0,0,0,0,0,1,169,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,10 Inch,0,0
09-09-2024,B0BNKZBJX2,,2024-09-09,0,0,0,0,0,1,41,"NapQueen 2'' Swirl Gel Mattress Topper, Twin-XL",Swirl Egg Shell,Mattress Topper,Twin XL,2 Inch,0,0
08-09-2024,B0BNKYW36G,,2024-09-08,0,0,0,0,0,1,57,"NapQueen 2'' Swirl Gel Mattress Topper, Full",Swirl Egg Shell,Mattress Topper,Full,2 Inch,0,0
